epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1007.75,0.55176,1.21483,0.90107,0.78387,0.78571,0.82065,0.72649,0.59759,1.89023,1.12343,0.000531038,0.000531038,0.000531038
44,1031.63,0.46237,1.0725,0.86568,0.86475,0.76093,0.81633,0.71736,0.55836,1.74401,1.088,0.000522039,0.000522039,0.000522039
45,1054.62,0.53686,1.10239,0.89541,0.77931,0.78571,0.8188,0.738,0.53264,1.6994,1.08557,0.00051304,0.00051304,0.00051304
46,1077.33,0.53632,1.08941,0.87975,0.75331,0.78571,0.81633,0.74288,0.5306,1.78719,1.08113,0.00050404,0.00050404,0.00050404
47,1099.91,0.48959,1.0637,0.86401,0.74653,0.78571,0.81633,0.74532,0.52969,1.86028,1.08468,0.000495041,0.000495041,0.000495041
48,1122.55,0.5315,1.20121,0.91754,0.77201,0.78571,0.81633,0.73562,0.58128,1.92286,1.1278,0.000486042,0.000486042,0.000486042
49,1145.21,0.53684,1.27743,0.93506,0.77229,0.78571,0.81517,0.72539,0.586,1.93422,1.13345,0.000477043,0.000477043,0.000477043
50,1168.11,0.48538,1.02369,0.90227,0.75748,0.78571,0.81517,0.72955,0.58936,1.93627,1.12824,0.000468044,0.000468044,0.000468044
51,1190.59,0.42256,1.09277,0.83748,0.76993,0.78571,0.81517,0.72767,0.6001,1.9005,1.1073,0.000459045,0.000459045,0.000459045
52,1213.16,0.45391,1.05701,0.88979,0.77686,0.78571,0.81517,0.71983,0.62001,1.83369,1.10712,0.000450046,0.000450046,0.000450046
53,1236.09,0.50694,1.07701,0.87346,0.78834,0.78571,0.78739,0.71696,0.63447,1.79587,1.11934,0.000441047,0.000441047,0.000441047
54,1259.22,0.50016,1.15477,0.91955,0.78685,0.78571,0.81517,0.73819,0.66349,1.83446,1.11635,0.000432048,0.000432048,0.000432048
55,1281.81,0.4951,1.04073,0.85539,0.78914,0.78571,0.81517,0.73818,0.65225,1.86691,1.09753,0.000423049,0.000423049,0.000423049
56,1304.85,0.45829,0.91143,0.8587,0.78446,0.78571,0.7735,0.69242,0.59874,1.79633,1.10809,0.000414049,0.000414049,0.000414049
57,1327.5,0.46084,0.93751,0.89998,0.75446,0.78571,0.7735,0.71074,0.57529,1.73975,1.10339,0.00040505,0.00040505,0.00040505
